identificador	opening_date	opening_date_new	imagenPositivaNegativaMacri	imagenPositivaNegativaVidal	imagenPositivaNegativaCristina	latLong	latitude	longitude
236	1979	1180	2	2	1	-34.42865,-58.65081	-34.42865	-58.65081
237	1979	1185	2	2	1	-34.548641204834,-58.5516815185547	-34.5486412	-58.55168152
238	1979	1190	2	2		-34.4168941,-58.7361857	-34.4168941	-58.7361857
239	1979	1195	2	2	1	-34.53735,-58.53202	-34.53735	-58.53202
240	1979	1200	2		1	-34.5310734,-58.5044306	-34.5310734	-58.5044306
242	1979	1210	2	2	1	4.61496019363403,-74.0694122314453	4.614960194	-74.06941223
243	1979	1215	2	2	1	-34.51225,-58.54745	-34.51225	-58.54745
244	1979	1220	2		2	-34.4499605,-58.6066897	-34.4499605	-58.6066897
246	1979	1230	2	2	1	-34.8167255,-58.4055779	-34.8167255	-58.4055779
247	1979	1235	2	2	1	-34.5189823,-58.7969843	-34.5189823	-58.7969843
249	1979	1245	2	2	1	-34.5683464,-58.5465629	-34.5683464	-58.5465629
250	1979	1250	2	2	1	13.7330055236816,-88.8665008544922	13.73300552	-88.86650085
251	1979	1255	2	2		-34.4927792,-58.5838045	-34.4927792	-58.5838045
252	1979	1260	2	2		-34.605855,-58.7491287	-34.605855	-58.7491287
254	1979	1270	2	2	2	-34.5199093,-58.5503626	-34.5199093	-58.5503626
255	1979	1275	2	2	1	-34.6514085,-58.8113535	-34.6514085	-58.8113535
256	1979	1280	2	2	1	-34.4712278,-58.5017573	-34.4712278	-58.5017573
257	1979	1285	1	1	2	-34.4640437,-58.6272429	-34.4640437	-58.6272429
258	1980	1290	1	1	2	-34.4283218383789,-58.5832366943359	-34.42832184	-58.58323669
259	1980	1295	1	1	2	-34.51923,-58.5523	-34.51923	-58.5523
260	1980	1300		2	1	-34.6572471,-58.7610999	-34.6572471	-58.7610999
261	1980	1305	2	2	1	-34.4663098,-58.6635384	-34.4663098	-58.6635384
262	1980	1310	2	2	2	-34.53973,-58.55408	-34.53973	-58.55408
263	1980	1315	1	1	2	-34.4880421,-58.4960603	-34.4880421	-58.4960603
265	1980	1325	1	1	2	-34.4515983,-58.6500356	-34.4515983	-58.6500356
266	1980	1330	2	2		-34.5548311,-58.5473639	-34.5548311	-58.5473639
267	1980	1335	2	2	1	-34.6044129,-58.7557218	-34.6044129	-58.7557218
269	1980	1345	1	1	2	-34.4868696,-58.4954559	-34.4868696	-58.4954559
270	1980	1350	1	1	2	-35.2719052,-59.7655335	-35.2719052	-59.7655335
271	1980	1355	1	1	1	-34.535641,-58.7512324	-34.535641	-58.7512324
273	1980	1365	2	2	2	-34.548641204834,-58.5516815185547	-34.5486412	-58.55168152
274	1980	1370	2	2	1	-34.42865,-58.65081	-34.42865	-58.65081
276	1980	1380	2		2	-34.4844628,-58.5758284	-34.4844628	-58.5758284
277	1980	1385	2		1	-34.5696854,-58.5176483	-34.5696854	-58.5176483
278	1980	1390	2	2	2	-34.49479,-58.63263	-34.49479	-58.63263
279	1980	1395	2	2	2	-34.6110032,-58.8383752	-34.6110032	-58.8383752
280	1980	1400	1	1	2	-34.5105388,-58.5672498	-34.5105388	-58.5672498
281	1980	1405	1	1	2	-34.51727,-58.52247	-34.51727	-58.52247
282	1980	1410	1	1	2	-34.5817974,-58.8725943	-34.5817974	-58.8725943
